Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cyprus,2007,All ages,Female,Liver cancer,"Deaths per 100,000",2.87902917,2.497111047,3.30396875
Cyprus,2008,All ages,Female,Liver cancer,"Deaths per 100,000",3.017467116,2.622285498,3.450099525
Cyprus,2009,All ages,Female,Liver cancer,"Deaths per 100,000",3.054002941,2.638239899,3.479389723
Cyprus,2010,All ages,Female,Liver cancer,"Deaths per 100,000",3.136668645,2.691207129,3.581900402
Cyprus,2011,All ages,Female,Liver cancer,"Deaths per 100,000",3.24361944,2.765118807,3.702233529
Cyprus,2012,All ages,Female,Liver cancer,"Deaths per 100,000",3.327597536,2.828164224,3.819628675
Cyprus,2013,All ages,Female,Liver cancer,"Deaths per 100,000",3.401516961,2.8760221,3.915984321
Cyprus,2014,All ages,Female,Liver cancer,"Deaths per 100,000",3.441445048,2.937606973,3.997665695
Cyprus,2015,All ages,Female,Liver cancer,"Deaths per 100,000",3.491705449,2.970280258,4.087251621
Cyprus,2016,All ages,Female,Liver cancer,"Deaths per 100,000",3.523814337,2.96207491,4.171933446
Cyprus,2017,All ages,Female,Liver cancer,"Deaths per 100,000",3.555475376,2.968421334,4.233003179
Cyprus,2018,All ages,Female,Liver cancer,"Deaths per 100,000",3.586306698,2.945274653,4.314366221
Cyprus,2019,All ages,Female,Liver cancer,"Deaths per 100,000",3.616493235,2.934993308,4.403053146
Cyprus,1990,<5 years,Both,Liver cancer,"Deaths per 100,000",0.098551396,0.060191455,0.153239996
Cyprus,1991,<5 years,Both,Liver cancer,"Deaths per 100,000",0.098198202,0.061548959,0.1507417
Cyprus,1992,<5 years,Both,Liver cancer,"Deaths per 100,000",0.096775027,0.062854226,0.147372546
Cyprus,1993,<5 years,Both,Liver cancer,"Deaths per 100,000",0.095460327,0.063312196,0.142894227
Cyprus,1994,<5 years,Both,Liver cancer,"Deaths per 100,000",0.093189462,0.061956746,0.138462549
Cyprus,1995,<5 years,Both,Liver cancer,"Deaths per 100,000",0.090908597,0.061160826,0.134046529
Cyprus,1996,<5 years,Both,Liver cancer,"Deaths per 100,000",0.089369793,0.061836998,0.129158983
Cyprus,1997,<5 years,Both,Liver cancer,"Deaths per 100,000",0.087640167,0.061216516,0.127730511
Cyprus,1998,<5 years,Both,Liver cancer,"Deaths per 100,000",0.086094871,0.06092155,0.12061965
Cyprus,1999,<5 years,Both,Liver cancer,"Deaths per 100,000",0.08283599,0.060060295,0.114841117
Cyprus,2000,<5 years,Both,Liver cancer,"Deaths per 100,000",0.078086689,0.055825194,0.105722625
Cyprus,2001,<5 years,Both,Liver cancer,"Deaths per 100,000",0.072816529,0.052161271,0.096705622
Cyprus,2002,<5 years,Both,Liver cancer,"Deaths per 100,000",0.06928496,0.049176142,0.092223053
Cyprus,2003,<5 years,Both,Liver cancer,"Deaths per 100,000",0.065550763,0.04647604,0.087383096
Cyprus,2004,<5 years,Both,Liver cancer,"Deaths per 100,000",0.062308004,0.044340475,0.084118217
Cyprus,2005,<5 years,Both,Liver cancer,"Deaths per 100,000",0.060497686,0.042287338,0.08200035
Cyprus,2006,<5 years,Both,Liver cancer,"Deaths per 100,000",0.058540887,0.041909196,0.078607855
Cyprus,2007,<5 years,Both,Liver cancer,"Deaths per 100,000",0.056804231,0.040994689,0.076380045
Cyprus,2008,<5 years,Both,Liver cancer,"Deaths per 100,000",0.056024778,0.040912369,0.075979842
Cyprus,2009,<5 years,Both,Liver cancer,"Deaths per 100,000",0.056190398,0.04031931,0.076123856
Cyprus,2010,<5 years,Both,Liver cancer,"Deaths per 100,000",0.055302899,0.040033834,0.073274772
Cyprus,2011,<5 years,Both,Liver cancer,"Deaths per 100,000",0.054693654,0.039181181,0.074139786
Cyprus,2012,<5 years,Both,Liver cancer,"Deaths per 100,000",0.054502302,0.039070249,0.074211259
Cyprus,2013,<5 years,Both,Liver cancer,"Deaths per 100,000",0.051899897,0.036630785,0.070117307
Cyprus,2014,<5 years,Both,Liver cancer,"Deaths per 100,000",0.052154838,0.036943457,0.07234785
Cyprus,2015,<5 years,Both,Liver cancer,"Deaths per 100,000",0.053233162,0.037260103,0.073303986
Cyprus,2016,<5 years,Both,Liver cancer,"Deaths per 100,000",0.053540013,0.036996441,0.075335118
Cyprus,2017,<5 years,Both,Liver cancer,"Deaths per 100,000",0.051906285,0.034510667,0.073788284
Cyprus,2018,<5 years,Both,Liver cancer,"Deaths per 100,000",0.050473856,0.032949552,0.074344877
Cyprus,2019,<5 years,Both,Liver cancer,"Deaths per 100,000",0.04905248,0.030931449,0.073597908
Cyprus,1990,<5 years,Male,Liver cancer,"Deaths per 100,000",0.095466834,0.051801611,0.160842988
Cyprus,1991,<5 years,Male,Liver cancer,"Deaths per 100,000",0.095480939,0.053562127,0.161190074
Cyprus,1992,<5 years,Male,Liver cancer,"Deaths per 100,000",0.094564683,0.054395363,0.155683559
Cyprus,1993,<5 years,Male,Liver cancer,"Deaths per 100,000",0.093669949,0.056159056,0.154661129
Cyprus,1994,<5 years,Male,Liver cancer,"Deaths per 100,000",0.09220821,0.056018979,0.149368806
Cyprus,1995,<5 years,Male,Liver cancer,"Deaths per 100,000",0.090827387,0.056851314,0.143322793
Cyprus,1996,<5 years,Male,Liver cancer,"Deaths per 100,000",0.089695216,0.057546798,0.138157592
Cyprus,1997,<5 years,Male,Liver cancer,"Deaths per 100,000",0.08869696,0.057825642,0.132579848
Cyprus,1998,<5 years,Male,Liver cancer,"Deaths per 100,000",0.087444925,0.058305415,0.130555961
Cyprus,1999,<5 years,Male,Liver cancer,"Deaths per 100,000",0.083863635,0.057234591,0.123267396
Cyprus,2000,<5 years,Male,Liver cancer,"Deaths per 100,000",0.078357837,0.054065388,0.113372745
Cyprus,2001,<5 years,Male,Liver cancer,"Deaths per 100,000",0.072134258,0.050048064,0.102904313
Cyprus,2002,<5 years,Male,Liver cancer,"Deaths per 100,000",0.067543684,0.047266473,0.095434568
Cyprus,2003,<5 years,Male,Liver cancer,"Deaths per 100,000",0.063044775,0.042394998,0.089449752
Cyprus,2004,<5 years,Male,Liver cancer,"Deaths per 100,000",0.05919865,0.039117949,0.084347902
Cyprus,2005,<5 years,Male,Liver cancer,"Deaths per 100,000",0.056375513,0.037102387,0.080629177
Cyprus,2006,<5 years,Male,Liver cancer,"Deaths per 100,000",0.053846702,0.036374503,0.075625969
Cyprus,2007,<5 years,Male,Liver cancer,"Deaths per 100,000",0.051510177,0.035035673,0.071993156
Cyprus,2008,<5 years,Male,Liver cancer,"Deaths per 100,000",0.050218195,0.034100514,0.072050901
Cyprus,2009,<5 years,Male,Liver cancer,"Deaths per 100,000",0.049961456,0.033408966,0.071579272
Cyprus,2010,<5 years,Male,Liver cancer,"Deaths per 100,000",0.049418679,0.032762396,0.069590693
Cyprus,2011,<5 years,Male,Liver cancer,"Deaths per 100,000",0.04958929,0.033192892,0.070201647
Cyprus,2012,<5 years,Male,Liver cancer,"Deaths per 100,000",0.049812977,0.032525952,0.071590644
Cyprus,2013,<5 years,Male,Liver cancer,"Deaths per 100,000",0.048489038,0.031358289,0.071018683
Cyprus,2014,<5 years,Male,Liver cancer,"Deaths per 100,000",0.048818847,0.031291368,0.072512529
Cyprus,2015,<5 years,Male,Liver cancer,"Deaths per 100,000",0.049689084,0.031648976,0.074565589
Cyprus,2016,<5 years,Male,Liver cancer,"Deaths per 100,000",0.04965387,0.031028306,0.074435105
Cyprus,2017,<5 years,Male,Liver cancer,"Deaths per 100,000",0.048536175,0.028066876,0.074003849
Cyprus,2018,<5 years,Male,Liver cancer,"Deaths per 100,000",0.047478002,0.027572743,0.074216604
Cyprus,2019,<5 years,Male,Liver cancer,"Deaths per 100,000",0.046534038,0.025583852,0.074873841
Cyprus,1990,<5 years,Female,Liver cancer,"Deaths per 100,000",0.101821767,0.058764793,0.163082429
Cyprus,1991,<5 years,Female,Liver cancer,"Deaths per 100,000",0.101074939,0.059894907,0.161442181
Cyprus,1992,<5 years,Female,Liver cancer,"Deaths per 100,000",0.099111251,0.061488068,0.154554983
Cyprus,1993,<5 years,Female,Liver cancer,"Deaths per 100,000",0.097349012,0.060163008,0.148511981
Cyprus,1994,<5 years,Female,Liver cancer,"Deaths per 100,000",0.094222234,0.058863022,0.144213146
Cyprus,1995,<5 years,Female,Liver cancer,"Deaths per 100,000",0.090993854,0.057284844,0.140581394
Cyprus,1996,<5 years,Female,Liver cancer,"Deaths per 100,000",0.089029152,0.056957693,0.133449998
Cyprus,1997,<5 years,Female,Liver cancer,"Deaths per 100,000",0.086537836,0.05627705,0.132844435
Cyprus,1998,<5 years,Female,Liver cancer,"Deaths per 100,000",0.084692256,0.056184111,0.124766455
Cyprus,1999,<5 years,Female,Liver cancer,"Deaths per 100,000",0.081772776,0.055280321,0.11918482
Cyprus,2000,<5 years,Female,Liver cancer,"Deaths per 100,000",0.077807148,0.051570972,0.112739155
Cyprus,2001,<5 years,Female,Liver cancer,"Deaths per 100,000",0.073518568,0.048205889,0.105095777
Cyprus,2002,<5 years,Female,Liver cancer,"Deaths per 100,000",0.071078189,0.045903214,0.103284625
Cyprus,2003,<5 years,Female,Liver cancer,"Deaths per 100,000",0.068138451,0.043627024,0.09799328
Cyprus,2004,<5 years,Female,Liver cancer,"Deaths per 100,000",0.065530407,0.042272716,0.097336221
Cyprus,2005,<5 years,Female,Liver cancer,"Deaths per 100,000",0.064786231,0.041602698,0.096028709
Cyprus,2006,<5 years,Female,Liver cancer,"Deaths per 100,000",0.063443216,0.04086857,0.093939845
Cyprus,2007,<5 years,Female,Liver cancer,"Deaths per 100,000",0.062353596,0.041031157,0.093844077
Cyprus,2008,<5 years,Female,Liver cancer,"Deaths per 100,000",0.062132156,0.040466665,0.093441714
Cyprus,2009,<5 years,Female,Liver cancer,"Deaths per 100,000",0.062761846,0.040393682,0.094480399
Cyprus,2010,<5 years,Female,Liver cancer,"Deaths per 100,000",0.061526146,0.039885271,0.092089628
Cyprus,2011,<5 years,Female,Liver cancer,"Deaths per 100,000",0.06010167,0.038178184,0.091086539
Cyprus,2012,<5 years,Female,Liver cancer,"Deaths per 100,000",0.059475796,0.038113208,0.09211622
Cyprus,2013,<5 years,Female,Liver cancer,"Deaths per 100,000",0.05552084,0.035501878,0.086418146
Cyprus,2014,<5 years,Female,Liver cancer,"Deaths per 100,000",0.055700977,0.035772016,0.085577327
Cyprus,2015,<5 years,Female,Liver cancer,"Deaths per 100,000",0.05700757,0.035615943,0.089740312
Cyprus,2016,<5 years,Female,Liver cancer,"Deaths per 100,000",0.057686742,0.036051894,0.090627881
Cyprus,2017,<5 years,Female,Liver cancer,"Deaths per 100,000",0.055507977,0.033820583,0.090323979
Cyprus,2018,<5 years,Female,Liver cancer,"Deaths per 100,000",0.053679314,0.033143859,0.087328426
Cyprus,2019,<5 years,Female,Liver cancer,"Deaths per 100,000",0.051748947,0.03073834,0.085459874
Cyprus,1990,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.061475611,0.044670801,0.085152993
Cyprus,1991,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.05800115,0.040541468,0.078570564
Cyprus,1992,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.055782717,0.038909555,0.076129927
Cyprus,1993,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.055583535,0.038898482,0.075430834
Cyprus,1994,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.055862907,0.039307407,0.075238119
Cyprus,1995,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.05414516,0.037431145,0.072287285
Cyprus,1996,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.052910839,0.037238333,0.070749736
Cyprus,1997,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.049301292,0.035034639,0.06670955
Cyprus,1998,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.049547149,0.03595939,0.067206887
Cyprus,1999,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.051365288,0.038795469,0.0690517
Cyprus,2000,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.05853837,0.044366925,0.076617208
Cyprus,2001,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.063175716,0.047059117,0.08519439
Cyprus,2002,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.065949279,0.049711291,0.086002076
Cyprus,2003,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.0642187,0.050100802,0.081066923
Cyprus,2004,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.065025395,0.05069281,0.081457508
Cyprus,2005,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.06221826,0.049791718,0.074822208
Cyprus,2006,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.05659084,0.045955637,0.067843421
Cyprus,2007,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.055632253,0.045253219,0.066823597
Cyprus,2008,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.055095116,0.045228491,0.06620472
Cyprus,2009,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.049466079,0.040930844,0.059555338
Cyprus,2010,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.046953481,0.036642587,0.058171438
Cyprus,2011,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.048555916,0.037534622,0.060385539
Cyprus,2012,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.050205515,0.039267468,0.062472671
Cyprus,2013,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.049641331,0.039229863,0.060538298
Cyprus,2014,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.050444821,0.039775838,0.061719331
Cyprus,2015,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.052977576,0.04250016,0.06547272
Cyprus,2016,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.057988123,0.046680262,0.0719107
Cyprus,2017,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.062427648,0.049881768,0.077806921
Cyprus,2018,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.059555268,0.046352809,0.075953525
Cyprus,2019,5-14 years,Both,Liver cancer,"Deaths per 100,000",0.057635032,0.044349282,0.073478404
Cyprus,1990,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.069859141,0.045364652,0.101253576
Cyprus,1991,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.065768261,0.040370477,0.096566149
Cyprus,1992,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.064467961,0.038458625,0.096974986
Cyprus,1993,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.064874671,0.040149543,0.095477892
Cyprus,1994,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.063279682,0.039568561,0.091855871
Cyprus,1995,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.062357768,0.038524824,0.089185375
Cyprus,1996,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.063767319,0.041408344,0.090178983
Cyprus,1997,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.063439191,0.041756081,0.089559425
Cyprus,1998,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.064761576,0.044839712,0.089769146
Cyprus,1999,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.068032996,0.048809329,0.092037447
Cyprus,2000,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.07125309,0.050353507,0.100176878
Cyprus,2001,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.074570777,0.051168037,0.111871618
Cyprus,2002,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.074741052,0.051096497,0.110599808
Cyprus,2003,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.06910331,0.048789732,0.096640982
Cyprus,2004,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.067359176,0.047168809,0.096601504
Cyprus,2005,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.060212944,0.043909357,0.079794714
Cyprus,2006,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.052760996,0.039183582,0.068576428
Cyprus,2007,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.051537142,0.038784522,0.066265424
Cyprus,2008,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.049976917,0.037747522,0.064021396
Cyprus,2009,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.044318518,0.033409421,0.057583171
Cyprus,2010,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.039629047,0.025761253,0.055775654
Cyprus,2011,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.039539997,0.024934979,0.056269123
Cyprus,2012,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.039754099,0.025421132,0.057072927
Cyprus,2013,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.039381276,0.027304352,0.054351825
Cyprus,2014,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.040968809,0.029648896,0.055393367
Cyprus,2015,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.042808522,0.031106259,0.057967652
Cyprus,2016,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.048135121,0.035677032,0.064999543
Cyprus,2017,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.055734348,0.040708969,0.074988079
Cyprus,2018,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.055020736,0.03954279,0.075369989
Cyprus,2019,5-14 years,Male,Liver cancer,"Deaths per 100,000",0.053398497,0.038049763,0.073301188
Cyprus,1990,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.052436857,0.036209525,0.078828883
Cyprus,1991,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.049611654,0.033593541,0.076015089
Cyprus,1992,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.046386449,0.031283262,0.071972005
Cyprus,1993,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.045517803,0.030857924,0.069196813
Cyprus,1994,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.047818764,0.03281417,0.071319347
Cyprus,1995,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.045230909,0.030557431,0.068162362
Cyprus,1996,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.041120699,0.02783308,0.063312916
Cyprus,1997,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.033940507,0.022515017,0.057397859
Cyprus,1998,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.033011355,0.021913347,0.056212943
Cyprus,1999,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.033252302,0.02202489,0.054942612
Cyprus,2000,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.044733534,0.030930103,0.063780914
Cyprus,2001,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.050827229,0.03438198,0.068318303
Cyprus,2002,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.056452175,0.038156333,0.074554498
Cyprus,2003,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.058963444,0.040279265,0.076906737
Cyprus,2004,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.06252581,0.043903264,0.081349036
Cyprus,2005,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.064356486,0.045405747,0.084384372
Cyprus,2006,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.060658173,0.042843539,0.077508122
Cyprus,2007,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.059967168,0.042716726,0.076459522
Cyprus,2008,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.060500471,0.043500262,0.077763734
Cyprus,2009,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.054895428,0.040012966,0.070566055
Cyprus,2010,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.054678092,0.040142957,0.070289785
Cyprus,2011,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.058076349,0.042633501,0.074145433
